Website,Field,Status
Resume_Builder,Full_name,Can_ask
Resume_Builder,Email_address,Can_ask
Resume_Builder,Employment_history,Can_ask
Resume_Builder,Education_history,Can_ask
Resume_Builder,Skills,Can_ask
Resume_Builder,Portfolio,Can_ask
Resume_Builder,Phone_number,Flagged
Resume_Builder,DOB,Flagged
Resume_Builder,Home_address,Flagged
Resume_Builder,Government_id_number,Flagged
Resume_Builder,Bank_details,Flagged
Resume_Builder,Health_Information,Flagged
Job_Application,Full_name,Can_ask
Job_Application,Email_address,Can_ask
Job_Application,Phone_number,Can_ask
Job_Application,Mailing_address,Can_ask
Job_Application,Employment_history,Can_ask
Job_Application,Education_history,Can_ask
Job_Application,Work_authorization_status,Can_ask
Job_Application,Government_id_number,Flagged
Job_Application,Bank_financial_details,Flagged
Job_Application,Health_Information,Flagged
Job_Application,DOB,Flagged
Newsletter_Signup,Full_name,Can_ask
Newsletter_Signup,Email_address,Can_ask
Newsletter_Signup,Phone_number,Flagged
Newsletter_Signup,Home_address,Flagged
Newsletter_Signup,DOB,Flagged
Newsletter_Signup,Government_id_number,Flagged
Newsletter_Signup,Financial_card_details,Flagged
Account_Signup,Full_name,Can_ask
Account_Signup,Email_address,Can_ask
Account_Signup,Password,Can_ask
Account_Signup,Username,Can_ask
Account_Signup,Phone_number,Flagged
Account_Signup,Financial_card_details,Flagged
Account_Signup,Government_id_number,Flagged
Account_Signup,Home_address,Flagged
Account_Signup,DOB,Flagged
Login,Email_username,Can_ask
Login,Password,Can_ask
Login,Phone_number,Flagged
Login,Home_address,Flagged
Login,DOB,Flagged
Login,Government_id_number,Flagged
Login,Financial_card_details,Flagged
Login,New_personal_data,Flagged
Ecommerce_Checkout,Full_name,Can_ask
Ecommerce_Checkout,Email_address,Can_ask
Ecommerce_Checkout,Phone_number,Can_ask
Ecommerce_Checkout,Shipping_address,Can_ask
Ecommerce_Checkout,Billing_address,Can_ask
Ecommerce_Checkout,Payment_card_details,Can_ask
Ecommerce_Checkout,Government_id_number,Flagged
Ecommerce_Checkout,DOB,Flagged
Ecommerce_Checkout,Health_Information,Flagged
Ecommerce_Checkout,Employment_details,Flagged
Survey_Feedback,Full_name,Can_ask
Survey_Feedback,Email_address,Can_ask
Survey_Feedback,Gender,Can_ask
Survey_Feedback,Age_range,Can_ask
Survey_Feedback,Home_address,Flagged
Survey_Feedback,Government_id_number,Flagged
Survey_Feedback,Financial_card_details,Flagged
Survey_Feedback,Exact_DOB,Flagged
